No.,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Estado,Teléfono,Tipo de Residuo,No. de Autorización,Vigencia Inicio,Vigencia Término,Capacidad (ton/año)
156,Marina Josefina Pérez Montiel,"Calle Amargura s/n, en Paraje ""La Peña"",  Distrito de Tlacolula de Matamoras ",San Francisco Lachigoló,145,Oaxaca,20,(951) 516 30 32,Gases refrigerantes: tricloromonofluorometano y diclorodifluorometano.,20-IV-47-14,18/07/2014,18/07/2024,4
157,"Alternos y Reciclados Pavetech, S.A. de C.V.","Esquina Calle Valle Esmeralda con la Carretera Federal Oaxaca-Zimatlán de Álvarez, Col. Valle de Reyes",Villa Zaachila,565,Oaxaca,20,(951) 515 64 86,Residuos peligrosos tales como aceites lubricantes gastados.,20-IV-26-12,13/06/2012,13/06/2022,"2,850"
158,"Depósito Ecológico Ambiental, S.A. de C.V. (antes Convertidora de Aceites Usados, S.A. de C.V.)","Perímetro del Rancho San Felipe s/n, Localidad Chachapa 72990 ",Amozoc de Mota,15,Puebla,21,(222) 286 62 95,Solventes usados(Thinner) ,21-IV-02-10,08/01/2010,08/01/2020,562
159,*Jose Ignacio Vazquez Marin y/o C. Rosario Vazquez Marin,"Domicilio conocido a San José, C.P. 72980",Amozoc de Mota,15,Puebla,21,,"Disolventes orgánicos sucios, aceites lubricantes, y reciclaje de tambores.",21-15-PS-V-03-94,18/08/1994,Indefinida,"4,020"
160,María C. Rosario Vazquez Marin (antes Solventes San Martín),"Calle tres oriente S/N, Col. Santo Angel",Amozoc de Mota,15,Puebla,21,,Reciclaje de disolventes orgánicos y reciclaje de líquidos para frenos,21-15-PS-V-02-93,09/08/1993,Indefinida,605
161,"Ingeniería Especializada y Combustible Alterno, S.A de C.V.","Rancho María Inés s/n, Comunidad Bella Vista de Victoria, C.P. 75500",Plamar de Bravo,110,Puebla,21,(246) 4620 821,"Telas impregnadas con hidrocarburos, estopas impregnadas con hidrocarburos, pieles impregnadas con hidrocarburos, hules impregnados con hidrocarburos, madera impregnada con hidrocarburos, papel impregnado con hidrocarburos, cartón impregnado con hidrocarburos, natas de pintura base aceite, sólidos impregnados con grasas, pedacería de impermeabilizantes, envases contaminados con hidrocarburos y aceites lubricantes gastados",21-IV-27-17,42909,23/06/2027,146000
162,"Seguimiento en Trámites Crediticios de México, S.A. de C.V.","7 Sur No. 4929, C.P. 72430",Puebla,114,Puebla,21,(222) 213 2636,"Solventes organicos usados que incluyan como componentes en mayor proporción xileno, propanol butanol, o butil acetato.",21-IV-11-17,12/05/2017,12/05/2027,250
163,"LUB y REC de México, S.A. de C.V.",Av. Huejotzingo No. 6 ,Huejotzingo,74,Puebla,21,01 222 550 90 74,Aceite lubricante usado para elaboración de combustible alterno,21-IV-12-09,11/03/2009,11/03/2019,"89,000"
164,"Emilio Gómez Camacho e Hijos, S.A. de C.V.","Lote 8, Km. 230 Carr. Panamericana, Complejo Industrial Balvanera, S.A. de C.V., C.P. 76900.",Corregidora,6,Querétaro,22,01 442 225 05 26,"Reciclaje de residuos peligrosos como aceites lubricantes gastados, mismos que serán utilizados para la formulación de combustible alterno.",22-IV-70-11,27/09/2011,27/09/2021,"62,894"
165,"Wess Corporate, S.A. de C.V.","Lote 68, Parque Agro-Industrial La Cruz.",El Marqués,11,Querétaro,22,,"Solventes y disolventes como tolueno, acetona, éter, alcoholes y sus mezclas; y líquido fijador agotado.",22-IV-121-10,03/11/2010,03/11/2020,124
166,"Wess Corporate, S.A. de C.V.","Parque Agro-Industrial La Cruz,  Lote 68.",El Marqués,11,Querétaro,22,(442) 234 25 00,"Aceites lubricantes gastados, grasas, barnices, natas de pintura, solventes y residuos de alcoholes orgánicos como metanol y etanol, para su reciclaje energético como combustible alterno.",22-IV-57-11,28/07/2011,28/07/2021,125
167,"Drumex del Bajio, S.A. de C.V.","Calle Xicoténcatl No. 2, Col. Cumbres de Conin",El Marqués,11,Querétaro,22,(442) 277 4878,Tambos o contenedores metálicos y de plástico que contuvieron sustancias o residuos peligrosos,22-IV-04-16,21/01/2016,21/01/2026,"1,540"
168,"Bravo Energy México, S. de R.L. de C.V.","Mesa de León 107, Parque Industrial Querétaro, C.P. 72220.",Querétaro,14,Querétaro,22,(442) 240 93 10 ,Elaboración de combustible alterno a partir de aceites lubricantes usados automotriz,22-IV-18-16,15/04/2016,15/04/2026,"146,000"
169,"Procesos Ambientales Alfa, S.A. de C.V. (antes Proveedores Químicos y Materiales, S.A. de C.V.)","Calle 2 No. 8, Fraccionamiento Industrial Bénito Juárez",Querétaro,14,Querétaro,22,(442) 217 01 41,"Natas de pintura, solventes orgánicos, emulsiones aceite agua, soluciones de agua con aceite, soluciones gastadas ácidas, soluciones gastadas alcalinas y soluciones con metales pesados.",22-IV-48-14,07/08/2014,07/08/2024,"33,703"
170,Gerardo Lupercio Reyes,"Miguel Hidalgo No. 63, Col. Santa Matilde, C.P. 76810",San Juan del Río,16,Querétaro,22,(427) 142 00 29,"Envases que contuvieron remanentes de productos para pintura y productos relacionados de agentes secantes para pinturas, lacas y barnices.",22-IV-75-14,17/12/2014,17/12/2024,"72,000"
171,"PPG Industries de México, S.A. de C.V.","Libramiento a Tequisquiapan No. 66, Col. Valle de Oro, C.P. 76800. ",San Juan del Río,16,Querétaro,22,(427) 271 91 00,Solventes o disolventes o mezclas de solventes y disolventes sucios.,22-IV-36-11,26/05/2011,26/05/2021,360
172,"Fundametz México, S.A. de C.V.","Eje 134 No. 1348, Zona Industrial San Luis, Parque Fundidores, C.P. 78395.",San Luis Potosí,28,San Luis Potosí,24,52 (444) 824 23 50,"Baterías ácido-plomo usadas, desperdicios y desechos de plomo (placas, postes y uniones de plomo de baterías); chatarra de plomo metálico (pesas para rines, rodillos, quillas de barco, cortes de lámina, tuberías de plomo metálico) y desperdicios y desechos de óxidos de plomo y plomo antimonial.",24-IV-51-11,15/07/2011,15/07/2021,"24,865"
173,"Industrial Química Energética, S.A. de C.V. (antes Grasas y Lubricantes Mexicanos, S.A. de C.V.)","Ave. Fundidores No. 1302, Parque Industrial Fundidores, 78395.",San Luis Potosí,28,San Luis Potosí,24,(444) 824 15 42,"Reciclaje de aceites usados (lubricantes solubles, dieléctrico e hidráulico); combustibles ligeros (diafano, gasolinas, naftas, diesel y turbosinas) y solventes contaminados no clorados; así como alcoholes (metanol, etanol, isopropanol); aromáticos (benceno, tolueno, xilenos); ciclohexano; ciclohexanona; glicoles (monoetilen glicol, dietilen glicol, propilen glicol); cetonas (acetonas, etil-metil-cetona, metil-izobutil-cetona); aldehídos; hidrocarburos parafínicos (hexano, heptano) y acetatos (acetato de etilo).",24-IV-132-10,20/12/2010,20/12/2020,"38,676"
174,"Pochteca Materias Primas, S.A. de C.V.","Av. Industrias No. 5410, Zona Industrial del Potosí",San Luis Potosí,28,San Luis Potosí,24,(444) 824 01 89,"Solventes sucios, tales como: Solventes de purga en pintado, solventes usados en adhesivos, solventes usados en tintas y pinturas, medios de reacción en farmoquímica, solventes usados en perforación petrolera y solventes fuera de especificaciones en petroquímica.",24-IV-49-14,07/08/2014,07/08/2024,"3,780"
175,"Proquiter, S.A. de C.V.","Eje 134 No. 1362 Parque Industrial San Luis Potosí, C.P. 78395.",San Luis Potosí,28,San Luis Potosí,24,(444) 824 24 33,"Reciclaje de Acetato de Etilo (10-80%); Butilcellosolve (10-30%); Ciclohexano; Ciclohexanona; Gas Nafta (5-10%); Hexano (10-30%); Isopropanol (10-30%); Metanol (5-40%); Tolueno (2-50%); Xileno (10-20%); Etanol y Sales de Medicamentos Caducos (sulfato de sodio, acetaminofen, ibuprofeno y demás sales incluidas en los medicamentos caducos; metil isobutil cetona.",24-IV-13-11,22/02/2011,22/02/2021,200
176,"Tekmol de México, S.A. de C.V.","Av. Producción s/n Esq. Eje 120, Zona Industrial, C.P. 78395",San Luis Potosí,28,San Luis Potosí,24,(444) 71 67 10 00,Aceites usados.,24-IV-44-12,13/09/2012,13/09/2022,900
177,"Versisa, S.A. de C.V.","Crisol No. 1315 Zona Industrial del Potosí, C.P. 78395",San Luis Potosí,28,San Luis Potosí,24,(444) 803 89 42,Baterías de desecho base plomo y polvos de procesos industriales con contenido de plomo.,24-IV-86-11,07/12/2011,07/12/2021,"16,000"
178,"Yereh Chem, S.A. de C.V.","Eje 134 No. 1325, Parque Industrial de Fundidores",San Luis Potosí,28,San Luis Potosí,24,(55) 53 35 34 72,Solventes gastados.,24-IV-29-14,23/04/2014,23/04/2024,800
179,"Gen Industrial, S.A. de C.V. (antes CH Desperdicios Industriales, S.A. de C.V.)","Eje 118 No. 100, Esq. Con Carretera 57,  Zona Industrial, C.P. 78395",San Luis Potosí,28,San Luis Potosí,24,(444) 824 57 76,agua contaminada con hidrocarburos provenientes de terceros,24-IV-36-15,19/11/2015,19/11/2025,"11,000"
180,"EWR, S.A. de C.V. (antes Omega Recy, S.A. de C.V.; Omega Solder México, S.A. de C.V.; Organización Metal Vert, S.A. de C.V.)","Eje 132 No. 399 Parque Industrial de los Fundidores, C.P. 78395",San Luis Potosí,28,San Luis Potosí,24,(444) 824 00 03,"Recuperación de plomo, cobre, óxido de zinc, aleación plomo-estaño, trióxido de arsénico y sales de cadmio a partir de desperdicios de baterías de plomo y plomo ácido, escorias de cobre y plomo, residuos de soldadura, residuos de estaño y polvo del colector de cobre, circuitos modulares constituidos por componentes eléctricos y/o electrónicos sobre tablilla aislante con circuito impreso como: tarjetas de video, placas de sodio, tarjetas de red y otros PCI, ISA o tarjetas AGP que salen de las computadoras de escritorio, personales, portátiles y servidores de chatarra, etc., o cualquier otro desecho electrónico que contenga tarjetas, tarjetas provistas de circuitos integrados electrónicos (tarjetas inteligentes), así como dispositivos de almacenamiento no volátil, recargables, formados a base de elementos de estado sólido (semiconductores), como tarjetas de memoria flash, tarjeta de almacenamiento electrónico flash, memory stick, card, secure digital, compact flash Smart media, polvos de acería, desperdicios y desechos de estaño, desperdicios y desechos de plomo y desperdicios y desechos de cobre, circuitos modulares reconocidos como concebidos y residuos en cualquier presentación de circuitos modulares",24-IV-08-16 (Prórroga),10/02/2016,10/02/2026,"28,729"
181,"Petroquímica de Aceites, S.A. de C.V.","Eje 132 No. 399 Parque Industrial de los Fundidores, C.P. 78395",San Luis Potosí,28,San Luis Potosí,24,(444) 824 14 16,Aceites lubricantes gastados y elaboración de combustible a partir de éstos.,24-IV-09-17,21/04/2017,21/04/2027,"2,000"
182,"Residuos Mexicanos, S.A. de C.V.","Eje 136 No. 258, Zona Industrial",San Luis Potosí,28,San Luis Potosí,24,(444) 825 5263,"Aceites lubricantes usados y mezclas de solventes usados que contengan acetona, acetato de etilo, butil cellsolve, ciclohexano, ciclohexanona, gas nafta, hexano, isopropanol, metilisobutilcetona, metanol, tolueno, xileno y etanol para la elaboración de combustible alterno",24-IV-14-17,12/05/2017,12/05/2027,"5,294"
183,Marcelo Campista León,"Carretera Culiacán-Novolato No. 6523 d-10, Col. Alto de Bachigualato.",Culiacán,6,Sinaloa,25,(667) 275 01 24,"Solventes sucios: Exxsol D40, acetato de etilo, isopropanol, xileno, butil cellosolve, acetona, tolueno, heptano, hexano.",25-IV-14-14,05/03/2014,05/03/2024,115
184,"Grupo Asfálticos Procesados, S.A. de C.V.","Carretera Internacional Km 272, Ejido El Pozole, Comunidad de Villa Unión",Mazatlán,12,Sinaloa,25,(667)  761 4158,Aceites usados,25-IV-07-16,03/02/2016,03/02/2026,"52,080"
185,"Coba Industrial, S.A. de C.V.","Carrera a Tecoripa Km 11 s/n, Parque Industrial Hermosillo",Hermosillo,30,Sonora,26,(662) 212 12 00,"Aceite lubricante gastado para la formulación de combustible alterno, así como filtros residuales.",26-IV-40-14,11/06/2014,11/06/2024,"2,200"
186,"Residuos Industriales Multiquim, S.A. de C.V.","Av. de los Papagos lotes 2 y 3, entre Carretera a Sahuaripa y Pimas, Col. Parque Industrial.",Hermosillo,30,Sonora,26,(81) 81 52 21 59,"Residuos sólidos peligrosos tales como: sólidos de mantenimiento automotriz, contenedores vacíos, cartón y plástico contaminados con aceites y solventes, filtros en desuso, medicamentos caducos y polvos de pinturas.",28-IV-48-11,06/07/2011,06/07/2021,"25,000"
187,"Recolectora de Desechos y Residuos King Kong, S.A. de C.V.",Calle del Plomo # 33-B  Parque Industrial Hermosillo 83299,Hermosillo,30,Sonora,26,(662) 251 03 17,"Reciclaje de residuos peligrosos líquidos y/o líquidos contaminados con residuos peligrosos, tales como: corrientes de hidrocarburos, aceites gastados y aceites gastados contaminados.",26-IV-15-16,22/03/2016,22/03/2026,"13,500"
188,"Cerecyt, S.A. de C.V.","Acceso Principal a Ra. González 1° Sección, a 0.750 Km del Entronque con Carretera Coatzacoalcos-Villahermosa",Centro,4,Tabasco,27,(993) 380 21 28,"Aguas aceitosas, lodos o sólidos sedimentados durante el tratamiento de agua residual industrial aceitosa, lodos o sólidos sedimentados en unidades de tratamiento biológicos, líquidos remanentes, lodos impregnados con hidrocarburos y residuos líquidos contaminado con hidrocarburos.",27-IV-32-14,02/05/2014,02/05/2024,"280,320"
189,"Sercami Ambiental, S.A. de C.V.",Acceso principal a la Ranchería González 1a Sección a 0.950 Km del entronque con la Carretera Coatzacoalcos-Villahermosa (Km 157+000).,Centro,4,Tabasco,27,(993) 352 2886,Aceites lubricantes usados (automotriz e industrial),27-IV-53-16,30/09/2016,30/09/2026,"10,000"
190,"Reciclados Ecológicos y Alternos Masu, S.A. de C.V.","Camino Vecinal s/n, Ranchería  Pechucalco 2a Sección",Cunduacán,6,Tabasco,27,(461) 159 55 00,"Aceites usados de motor, solventes sucios, diesel manchado y gasolinas sucias o contaminadas.",27-IV-32-16,03/06/2016,03/06/2026,"14,560"
191,"Geocycle México, S.A. de C.V. Planta Macuspana (antes Ecoltec, S.A. de C.V. Planta Macuspana)",Carr. Villahermosa Escárcega Km. 68.5,Macuspana,12,Tabasco,27,57 24 00 00,"Elaboración de combustible alterno a partir de residuos peligrosos, así como materiales susceptibles de ser coprocesados o reciclados, a excepción de los indicados en la Tabla No. 1 (BPC's en concentración superior a 50 ppm, plaguicidas organoclorados y organofosforados a excepción de los envases vacíos que fueron sometidos a triple lavado, dioxinas y dibenzofuranos policlorados, residuos radiactivos, gases comprimidos, residuos biológico infecciosos, hexaclorobenceno, hexaclorobutadieno y hexacloroetano, cianuros en donde éste sea el agente primario, baterías enteras, explosivos, circuitos y componentes electrónicos, y residuos del manejo de la fibra de asbesto).",27-IV-70-08 (Prórroga),28/11/2008,28/11/2018,462800
192,"Cleanmex, S.A. de C.V.","Carr. Sendero Nacional Km. 8.3, Zona Indutrial H. Matamoros",Matamoros,22,Tamaulipas,28,(868) 811 19 00                                                                                                                                                                                                                                                          Ext. 101,Reciclaje de aceite mineral residual.,28-IV-17-09 (Prórroga),19/03/2009,19/03/2019,"10,000"
193,"Cleanmex, S.A. de C.V.","Carr. Sendero Nacional Km. 8.3, Zona Industrial H. Matamoros",Matamoros,22,Tamaulipas,28,(868) 811 19 00                                                                                                                                                                                                                                                          Ext. 101,Reciclaje de residuos peligrosos consistentes en sustancias líquidas o semilíquidas con pH alcalino y ácido.,28-IV-18-09 (Prórroga),19/03/2009,19/03/2019,"45,000"
194,"Icon Recycling, S. de R.L. de C.V.","Av. Prolongación Uniones y Av. Michigan No. 150-A, Parque Industrial del Norte FINSA, C.P. 87316.",Matamoros,22,Tamaulipas,28,(868) 203 05 99,Tubos de rayos catódicos contenidos en equipos electrónicos (monitores y televisores).,28-IV-37-13,29/11/2013,29/11/2023,"27,240"
195,"M3 Resources México, S. de R.L. de C.V.","Av. Industrial del Norte Mz. 6 Lt. 1 Parque Industrial del Norte, C.P. 88736",Reynosa,32,Tamaulipas,28,(55) 52 02 76 22,Reciclar plomo a partir de baterías automotrices e industriales usadas y otros desechos con contenido de plomo,28-IV-52-16,13/10/2016,13/10/2026,"80,000"
196,"Fundidora VH, S.A. de C.V. (antes Hornos de Fundición, S.A. de C.V.)",Carretera 120 km 86+200 tramo Valle Hermoso - Las Yescas 87500,Valle Hermoso,40,Tamaulipas,28,(894) 882 38 39,"Plomo metálico y compuestos de plomo, así como también acumuladores de plomo y plomo proveniente de acumuladores usados.",28-IV-27-08,17/06/2008,17/06/2018,"9,500"
197,"Metalurgic Xicohténcatl, S. de R.L. de C.V.","Cd. Industrial de Xicohténcatl III Lt. 2-A, Mz. Uno, Km 15 de la Carretera  Apizco-Tlaxco",Tlaxco,34,Tlaxcala,29,(779) 796 07 79,"Baterías plomo-ácidas usadas, grupos de placas de baterías, óxidos y sulfato de plomo, así como ladrillo refractario molido con dross plomoso.",29-IV-49-09,01/06/2009,01/06/2019,"65,515"
198,"*Enertec México, S. de R.L. de C.V. (antes Acumuladores Mexicanos, S.A. de C.V. (Planta Tlaxcala))","Km. 34, Carretera Tlaxcala-Puebla, Col. San Francisco Papalotla",Papalotla de Xicohténcatl,41,Tlaxcala,29,,Reciclaje de residuos peligrosos para la recuperación de plomo a partir de baterias,21-41-PS-V-01-94,07/02/1995,Indefinida,"30,600"
199,"Oapa, S.A. de C.V.","Carr. Puebla-Tlaxacla Km. 14.5, Corredor Iondustrial Xicotencatl",Papalotla de Xicohténcatl,41,Tlaxcala,29,,Reciclaje de pasta aglutinada con contenido de asbesto para la fabricación de ladrilos refractarios.,29-33-PS-III-02-95,08/06/1995,Indefinida,174
200,"Compañía Recicladora de Hidrocarburos, S.A. de C.V.","Camino a Santa Ana S/N, Localidad del Paraje Nuevo",Amatlán de Los Reyes,14,Veracruz,30,(229) 986 45 21,"Residuos peligrosos para la elaboración de combustible alterno a partir de gasolina, diesel y naftas usados provenientes de estaciones de servicio y talleres automotrices, lodos de separación primaria de aceites/agua/sólidos de la refinación del petróleo, lodos de separación secundaria de aceites/agua/sólidos o cualquier lodo o nata generado en la separación física y/o química de aguas residuales de proceso y aguas residuales aceitosas de las refinerías de petróleo, lodos del separador de API y cárcamos en la refinación del petróleo y almacenamiento de productos derivados y lodos de tanques de almacenamiento de hidrocarburos y derivados (tanques fijos, cisternas y buque tanques).",30-IV-20-12,14/05/2012,14/05/2022,"4,725"
201,"Proveedora Industrial Myca, S.A. de C.V.","Av. Palmeras No. 646 Local 11 Fraccionamiento Jardines de Virginia, C.P. 94294.",Boca del Río,28,Veracruz,30,(229) 130 41 10,"Lodos de separadores API, cárcamos en la refinería del petróleo y almacenamiento de productos derivados, así también en lodos de tanques de almacenamiento de hidrocarburos; lodos de separación primaria de aceite/agua/sólidos de la refinación del petróleo cualquier lodo generado por separación gravitacional de aceite/agua/sólidos durante el almacenamiento o tratamiento de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento de refinería de petróleo, los lodos incluyen, pero no se limitan a aquellos generados en separadores de aceite/agua/sólidos; tanques y lagunas de captación; zanjas y otros depósitos de transporte de agua pluvial, lodos generados de agua de enfriamiento sin contacto, de un solo paso, segregadas para tratamiento de otros procesos o aguas de enfriamiento aceitosa y lodos generados en unidades de tratamiento biológico; lodos de separación secundaria (emulsificadores) de aceite/agua/sólidos y cualquier lodo y/o nata generada en la separación física y/o química de aceite/agua/sólido de aguas residuales de proceso y agua residual aceitosas de enfriamiento  de las refinerías del petróleo, tales residuos incluyen, pero no se limitan, todos los lodos y las natas generadas en unidades de flotación de aire inducida, tanques y lagunas de captación y todos los lodos generados en unidades DAF (flotación con aire suelto) lodos generados de agua de enfiramiento sin contacto, de un solo paso, segregadas para tratamiento de otros procesos o agua de enfriamiento aceitosas, lodos y natas generados en unidades de tratamientos biológicos, lodos de los separadores API y cárcamos en la producción de petroquímicos, sedimentos impregnados de hidrocarburos provenientes de las corridas de diablo y otros residuos sólidos peligrosos.",30-IV-31-11,30/05/2011,30/05/2021,"7,287.10"
202,"Reind Química, S. de R.L. de C.V. (antes Reind Química, S.A. de C.V.)","Carretera Coatzintla-Coralillos, Ejido de Coatzintla",Coatzintla,36,Veracruz,30,59 21 59 21 ,"Aguas aceitosas producto de la perforación de pozos petroleros, aguas de servicio de pozos petroleros y sosas gastadas.",30-IV-37-08,07/07/2008,07/07/2018,"224,800"
203,"Lim del Puerto, Logística, Ingeniería y Mantenimiento del Puerto, S.A. de C.V.","Calle Chihuahua No. 908, Col. Petrolera, 96500  "," Coatzacoalcos, ",39,Veracruz,30,(92) 2172 9210,"Gasolina, diesel y naftas gastados o sucias; lodos contaminados o impregnados con hidrocarburos; lodos contaminados con hidrocarburos intemperizados; lodos y aceites de la separación primaria de aceite/agua/sólidos; lodos generados por separación gravitacional de aceite/agua/sólidos durante el almacenamiento o tratamiento de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento; lodos generados en separadores de aceite/agua/sólidos, tanque y lagunas de captación, zanjas y otros dispositivos de transporte de agua pluvial; lodos generados de aguas de enfriamiento sin contacto, de un solo paso, segregados para tratamiento de otros procesos o aguas de enfriamiento aceitosas; lodos y aceites de la separación secundaria (emulsificados) de aceite/agua/sólidos; lodos y/o natas generados en la separación física y/o química de aceite/agua/sólidos de aguas residuales de proceso y aguas residuales aceitosas de enfriamiento; lodos y las natas generados en unidades de flotación de aire inducida, tanques y lagunas de captación y los generados en unidades daf (flotación con aire disuelto); lodos y aceites del separador API y cárcamos; lodos y aceites generados del almacenamiento de hidrocarburos y sus derivados (tanques fijos, cisternas, autotanques, buques tanques, entre otros) ",30-IV-42-16,07/07/2016,07/07/2026,"500,000"
204,"Geocycle México, S.A. de C.V. Planta Orizaba (antes Ecoltec, S.A. de C.V. Planta Orizaba)","Blvd. Fernando Gutiérrez Barrios No. 84, Col. Cruz Verde, Ixtaczoquitlán",Ixtaczoquitlán,85,Veracruz,30,57 24 00 00,"Elaboración de combustible alterno a partir de residuos peligrosos, así como materiales susceptibles de ser coprocesados o reciclados, a excepción de: Bifenilos policlorados en concentración superior a 50ppm, plaguicidas organoclorados y organofosforados a excepción de los envases vacíos que fueron sometidos a triple lavado, dioxinas y dibenzofuranos policlorados, residuos radioactivos, gases comprimidos, residuos biológico infecciosos, hexaclorobenceno, hexaclorobutadieno y hexacloroetano, cianuros en donde éste sea el agente primario, baterías enteras, explosivos, circuitos y componentes electrónicos, y residuos del manejo de la fibra de asbesto.",30-IV-26-09 (Prórroga),23/03/2009,23/03/2019,"128,000"
205,"Ingenio Pánuco, S.A.P.I. de C.V.","Alto del Estero S/N, C.P. 92000",Pánuco,123,Veracruz,30,(846) 266 16 77,Aceites lubricantes usados propios.,30-IV-65-14,31/10/2014,31/10/2024,4.16
206,Rafael Salazar Jiménez,"Camino Nacional Perote-Colonia Francisco I Madero s/n, de la Colonia Libertad.",Perote,128,Veracruz,30,(226) 316 21 76,"Residuos peligrosos tales como: Aceites lubricantes gastados, diesel contaminado y combustóleo.",30-IV-131-10,17/12/2010,17/12/2020,"4,200"
207,"Consorcio Ambiental y Construcción, S.A. de C.V.","Pozo 13 No. 1, Col. Yanga, C.P. 93270",Poza Rica,131,Veracruz,30,(782) 821 98 41,"Residuos peligrosos generados de la limpieza de tanques de almacenamiento de hidrocarburos, fosas, cárcamos, pilas, presa API y presas naturales contaminadas con hidrocarburos u otros residuos provenientes del petróleo.",30-IV-77-14,19/12/2014,19/12/2024,"100,000"
208,"Petrosoluciones del Sureste, S.A. de C.V.",Camino a San Miguel No. 4,Las Vigas de Ramírez,132,Veracruz,30,(228) 180 48 46,"Aceites usados (automotrices e industriales), mezclas aceite/agua y residuales de refinación provenientes de terceros, para la formulación de combustible alterno.",30-IV-43-14,15/07/2014,15/07/2024,"144,000"
209,"Ecología y Manejo de Residuos, S.A. de C.V.","Tablaje Catastral Santa Cruz No. 326, Km 3 de la Carretera a Chicxulub Pueblo Chicxulub Puerto, Localidad de Chicxulub Pueblo",Chicxulub Pueblo,20,Yucatán,31,999 927 0066,"Hidrocarburos gastados  o contaminados como aceites lubricantes gastados, solventes y aguas contaminadas con hidrocarburos, así como filtros, envases plasricos, textiles, lodos y tambores provenientes de terceros",31-IV-53-15,19/11/2015,19/11/2025,"11,340"
210,Manuel Saucedo Palafox,"Boulevard San José No. 1023, Colonia Mesoamérica, C.P. 99000.",Fresnillo,10,Zacatecas,32,(493) 932 41 42,"Reciclaje de aceites usados automotriz e industrial, para la elaboración de combustible alterno.",32-IV-02-11,17/01/2011,17/01/2021,432
211,"Lavandería Industrial Maypa, S.A. de C.V.","Calle Mar Bermejo No. 22, Ciudad Industrial, Garita de Otay, C.P. 22509 ",Tijuana,4,Baja California,2,(664) 640 5054,Reciclaje de solventes orgánicos gastados…,02-IV-43-17,27/11/2017,27/11/2027,189
