i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
63,BIO SISTEMAS SUSTENTABLES S.A.P.I. DE C.V.,CAMINO A LANZAROTE S/N,LOS TUBOS,NICOLAS ROMERO,54449,MAXICO,09NV150600026,13/May/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES SOLIDOS
64,BIOAGRO DE MEXICO S.A. DE C.V.,BLVD RODOLFO ELIAS CALLES 315-6 OTE.,CENTRO,C.D. OBREGON,,SONORA,95042,,"FORMULADORA DE PLAGUICIDAS Y FABRICA DE FERTILIZANTES, MEJORADORES DE SUELO E INOCULANTES",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
65,BIOAGROMEX S.A. DE C.V.,PEDRO AMPUDIA NO. 352,RODRIGUEZ GUAYULERA,SALTILLO,25180,COAHUILA,05FPNV050300005,15/Dec/2005,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES BOTANICOS (LIQUIDOS)
66,BIOCAMPO S.A. DE C.V.,BLVD. DR. JESUS VALDEZ SANCHEZ Km. 10,FRACC. PRESA DE LAS CASAS,ARTEAGA,25350,COAHUILA,10PNV050040015,29/Nov/2010,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS-BACTERICIDAS, INSECTICIDAS Y NEMATICIDAS LIQUIDOS, FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS, FORMULACION Y/O ENVASADO DE MEJORADORES DE SUELO Y REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS."
67,BIOCHEM SYSTEMS S.A. DE C.V.,CARRETERA A CHICHIMEQUILLAS 8001,SAN JOSE EL ALTO,QUERETARO,76147,QUERETARO,10PNV220140006,27/Jan/2014,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FERTILIZANTES, REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS, INOCULANTES LIQUIDOS, MEJORADORES DE SUELO LIQUIDOS, FUNGICIDAS (POLVOS HUMECTABLES) E INSECTICIDAS-ACARICIDAS SOLIDOS"
68,BIODERPAC S.A. DE C.V.,CARRETERA NAVOJOA-HUATABAMPO KM. 25,AGRICOLA,ETCHOJOA,85285,SONORA,10NV260260003,14/Mar/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION DE MEJORADORES DE SUELO, E INOCULANTES LIQUIDOS, REGULADORES DE CRECIMIENTO  LIQUIDOS Y SOLIDOS"
69,BIOFABRICA SIGLO XXI S.A. DE C.V.,CARRETERA MEX-OAXACA Km. 106,HERMENEGILDO GALEANA,CUAUTLA,62741,MORELOS,09NV170060009,23/Jan/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE INOCULANTES SOLIDOS
70,BIOFERTIX S. DE R.L. MI,PRIVADA NOGALES No. 304,LOS RODRIGUEZ,SANTIAGO,,NUEVO LEON,11NV190490021,12/May/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS
71,"BIOINNOVACION, S. DE R.L. DE C.V.",LIMON LOTE 16,JARDINES DE SAN RAFAEL,URUAPAN,60136,MICHOACAN,15NV1610203,23/Jan/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE MEJORADORES DE SUELO SOLIDOS.
72,BIOKEMIA MEXICANA S.A. DE C.V.,CARRETERA PANAMERICANA KM 368,PANAMERICANA,CELAYA,38020,GUANAJUATO,15PNV1100701,14/Jan/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION Y ENVASADO DE INSECTICIDAS LIQUIDOS ENVASADO DE HERBICIDAS LIQUIDOS
FORMULACION Y ENVASADO DE INSECTICIDAS SOLIDOS
ENVASADO DE HERBICIDAS, RODENTICIDAS Y FUNGICIDAS SOLIDOS FORMULACION Y ENVASADO DE FERTILIZANTES SOLIDOS ENVASADO DE FERTILIZANTES LIQUIDOS"
73,BIOKRONE S.A. DE C.V.,DOMICILIO CONOCIDO S/N S/C,RANCHO PARTICULAR SANTA ROSA,APASEO EL GRANDE,38192,GUANAJUATO,09PNV110050024,09/Mar/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, INSECTICIDAS, FERTILIZANTES, INOCULANTES SOLIDOS Y LIQUIDOS Y REGULADORES DE CRECIMIENTO LIQUIDOS"
74,BIOMANEJO INTEGRAL ORGANICO SUSTENTABLE PARA LA AGRICULTURA S.P.R. DE R.L. DE C.V.,MARIO ANDRADE ANDRADE NO. 10,SAN JUAN DE DIOS,LOS REYES,60330,MICHOACAN,15 P 16 075 18,02/Sep/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE FUNGICIDAS DE ORIGEN BIOLOGICO
75,BIONUTRA S.A. DE C.V.,BOULEVARD LEONA VICARIO No. 1355 F,CRISTO REY,MARAVATIO DE OCAMPO,61250,MICHOACAN,14PNV1605025,03/Nov/2014,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)
FABRICACIAN DE PESTICIDAS Y OTROS AGROQUAMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, ACARICIDAS, NEMATICIDAS,  FUNGICIDAS, MICROBIALES Y BOTANICOS SOLIDOS Y LIQUIDOS
FORMULACIAN DE INOCULANTES  LIQUIDOS"
76,"BIOSTAR MEXICO, S. DE R.L. DE C.V.",LAGUNA DEL CARMEN NO. 1120,LA SALLE,SALTILLO,25240,COAHUILA,12 PNV 05 030 0018,17/Nov/2015,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) Y FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACIAN DE FERTILIZANTES, REGULADORES DE CRECIMIENTO LAQUIDOS Y SALIDOS, INOCULANTES y MEJORADORES DE SUELO LAQUIDOS, FORMULACIAN DE INSECTICIDAS LAQUIDOS Y SALIDOS"
77,BIOTEC INTERNACIONAL S.A. DE C.V,RIO AGUANAVAL 341,MEXICO,MONTERREY,64740,NUEVO LEON,09NV190390015,05/Jun/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE REGULADORES DE CRECIMIENTO SOLIDOS Y LIQUIDOS
78,BIOTECH Y CONTROLES DE MEXICO S.A. DE C.V.,FERNANDO MONTES DE OCA No. 408,NIAOS HEROES,GUADALUPE,67190,NUEVO LEON,07P190260009,28/Jun/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE INSECTICIDAS-ACARICIDAS EN AEROSOL
79,BIOTECNOLOGIA AGROINDUSTRIAL S.A. DE C.V.,NORTE 12 NO. 230,"3Aa ETAPA, CIUDAD INDUSTRIAL MORELIA",MORELIA,58200,MICHOACAN,13PNV1605313,06/Jun/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","INSECTICIDAS Y FUNGICIDAS MICROBIALES LIQUIDOS Y SOLIDOS INOCULANTES LIQUIDOS Y SOLIDOS
FERTILIZANTES ORGANICOS LIQUIDOS Y SOLIDOS MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS"
80,BIOTECNOLOGIA ORGANICA S.A. DE C.V.,JACARANDAS S/N,LOS OLVERA,CORREGIDORA,76902,QUERETARO,12NV220060009,04/Apr/2012,"FABRICACION, FORMULACION, MEZCLA Y ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS.
81,BIOTEKSA S.A. DE C.V.,CARRETERA LAS PAMPAS  KM 2.5,INDUSTRIAL,JIMENEZ,33981,CHIHUAHUA,05FNV080360004,29/Jan/2008,FORMULACION DE NUTRIENTES VEGETALES,"FABRICACION, FORMULACION DE FERTILIZANTES FOLIARES INORGANICOS Y FERTILIZANTES ORGANICOS E INORGANICOS"
82,BIOTERRA INTERNACIONAL S.A. DE C.V.,CARRETERA VILLA GARCIA No. 112-6,INDUSTRIAL,SANTA CATARINA,66367,NUEVO LEON,12NV190480024,13/Aug/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS, MEZCLA DE FERTILIZANTES SOLIDOS."
83,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,CARRETERA LOS MOCHIS-TOPOLOBAMPO Km. 15.2 NAVE 2,PARQUE INDUTRIAL TOPOLOBAMPO,TOPOLOBAMPO,82120,SINALOA,09NV250017,13/Apr/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS
84,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,CARRETERA TRANSISMICA KM 2.5,GRANADILLO,SALINA CRUZ,70610,OAXACA,09NV200790001,24/Aug/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",MEZCLA DE FERTILIZANTES SOLIDOS
85,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,BOULEVARD DE LOS RIOS No. 2960,PUERTO INDUSTRIAL,ALTAMIRA,89600,TAMAULIPAS,09NV280030008,08/Sep/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",ENVASADO Y MEZCLA DE FERTILIZANTES SOLIDOS
86,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,ESTACION CORRALEJO S/N,PENJAMO,PENJAMO,36921,GUANAJUATO,11NV110230027,28/Feb/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLA Y ENVASADO DE FERTILIZANTES SOLIDOS
87,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,ARAUCARIAS S/N LOTE 9 Y 10,CIUDAD INDUSTRIAL BRUNO PAGLIAI,VERACRUZ,91697,VERACRUZ,11NV301930025,02/Dec/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),ENVASADO Y MEZCLA DE FERTILIZANTES SOLIDOS
88,BODEGAS Y AGROINDUSTRIALES DE TAPACHULA S.A. DE C.V.,"AV. MIGUEL DE LA MADRID NO, 7",CENTRO,ZAPOTLAN EL GRANDE,49000,JALISCO,13NV1402304,18/Feb/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES SOLIDOS.
89,BUCKMAN LABORATORIES S.A. DE C.V.,PASEO CUAUHNAHUAC  KM 13.5,PROGRESO,JIUTEPEC,62550,MORELOS,05PNV170110006,05/Jan/2012,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS.","FABRICACION DE FUMIGANTES LIQUIDOS, FORMULACION DE FUMIGANTES LIQUIDOS, FORMULACION DE FUNGICIDAS SOLIDOS Y LIQUIDOS, FORMULACION DE NEMATICIDAS SOLIDOS, FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS"
90,"BUCKMAN LABORATORIES, S.A. DE C.V.",AVENIDA CUAHTEMOC No. 700,RESIDENCIAL CUAUHTAMOC,SANTA CATARINA,66144,NUEVO LEON,16P1904808,30/Mar/2016,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)",FABRICACIAN Y FORMULACIAN DE FUNGICIDAS QUAMICOS LAQUIDOS.
91,CALDERON ARCE PAMELA,LA PALMA No. 38,POBLADO COYOTILLOS,EL MARQUES,76248,QUERETARO,06PNV220110002,08/Sep/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE INSECTICIDAS Y FERTILIZANTES LIQUIDOS Y SOLIDOS
92,CARLOS ROMAN ESQUIVEL,CARRETERA A EL DORADOO KM 2 NO. 6581 SUR,CAMPO EL DIEZ,CULIACAN,80396,SINALOA,08PNV250060015,17/Dec/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACION DE FERTILIZANTES, REGULADORES DE CRECIMIENTO, INSECTICIDAS Y FUNGICIDAS SOLIDOS Y LIQUIDOS"
93,CARVAMIX S.A. DE C.V.,CALLE JALISCO NO. 3,TEMAMATLA,TEMAMATLA,56650,ESTADO DE MEXICO,15PNV1508304,05/Feb/2015,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)",FORMULACION DE FERTILIZANTES Y FUNGICIDAS LIQUIDOS Y SOLIDOS
94,CB MARKETING GROUP S. DE R.L. DE C.V.,CALLE 10 Y AV. DEL COMERCIO,EMILIANO ZAPATA,OJINAGA,32880,CHIHUAHUA,10NV080520009,23/Mar/2010,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
95,CHEMTURA CORPORATION MEXICO  S. DE R.L DE C.V.,CARRETERA TAMPICO-MANTE KM 14.5,LAGUNA DE LA PUERTA,ALTAMIRA,89600,TAMAULIPAS,07P280030004,26/Jul/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE HERBICIDAS LIQUIDOS
96,CLARIANT (MEXICO) S.A. DE C.V.,CALLE 37 ESTE NO. 434,CIVAC,JIUTEPEC,65200,MORELOS,05FP170110005,07/Jul/2005,FORMULACION DE PLAGUICIDAS,FORMULACION DE FUNGICIDAS  SOLIDOS (PASTA) Y LIQUIDOS
97,CLARIANT (MEXICO) S.A. DE C.V.,"BOULEVARD CPQ CANGREJERA AL CPQ MORELOS KM 3+300, INTERIOR B",ZONA INDUSTRIAL,COATZACOALCOS,96400,VERACRUZ,16 P 30 039 18,42583,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FABRICACIAN DE BIOCIDAS LIQUIDOS
98,COMPLEX QUIMICA S.A. DE C.V.,AV. CUAUHTEMOC No. 700 NTE. EDIFICIO A (DEPARTAMENTO BEN-400),RESIDENCIAL CATARINA,SANTA CATARINA,66144,NUEVO LEON,09P190480019,22/Oct/2009,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACIAN DE HERBICIDAS LAQUIDOS
99,COMPO AGRO MEXICO S.A. DE C.V.,"KM 20+300 ENTRONQUE CAMPO 6.5, CARRETERA CUAUHTEMOC - ALVARO OBREGON",CAMPO 6.5,CUAUHTEMOC,31608,CHIHUAHUA,13NV0801703,28/Jan/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO SOLIDOS Y LIQUIDOS
100,COMPO AGRO MEXICO S.A. DE C.V.,BLVD. RIO TAMESI S/N ESQ. GOLFO DE CALIFORNIA,PUERTO INDUSTRIAL,ALTAMIRA,89060,TAMAULIPAS,06NV280030005,08/Jun/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),ENVASADO DE FERTILIZANTE Y REGULADORES DE CRECIMIENTO SOLIDOS Y LIQUIDOS
101,CONSULTORES AGROPECUARIOS UNIDOS Y SERVICIOS ESPECIALES DE MEXICO S.A. DE C.V.,CARRETERA A LOS PINOS Km. 1.5,"FRACC. AGRICULTORES Y GANADEROS GRUPO INDUSTRIAL, S.A.",RAMOS ARIZPE,25900,COAHUILA,12PNV050270017,17/May/2012,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION Y/O ENVASADO DE HERBICIDAS LIQUIDOS, ENVASADO DE HERBICIDAS SOLIDOS, FORMULACION Y/O ENVASADO DE INSECTICIDAS, ACARICIDAS, FUNGICIDAS Y FERTILIZANTES SOLIDOS Y LIQUIDOS Y FORMULACION DE REGULADORES DE CRECIMIENTO LIQUIDOS."
102,CORIA ANDRADE JORGE,KM 18 CARRETERA TIRIPETIO-V.MADERO,"LA PALOMA, ZIPARAPIO EL BAJO",ACUITZIO,58460,MICHOACAN,05FNV160010002,21/Sep/2005,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE REGULADORES DE CRECIMIENTO LIQUIDOS
103,CORPORACION AGROTECNOLOGICA MEXICANA S. DE P.R. DE R.L.,CARR. CUATRO CAMINOS APATZINGAN KM 14 S/N,ANTUNEZ,PARACUARO,60781,MICHOACAN,09NV160640007,08/Jul/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES LIQUIDOS
104,CORPORATIVO DE DESARROLLO SUSTENTABLE S.A. DE C.V.,CIRCUITO PARQUE INDUSTRIAL No. 252,QUINTA ETAPA CIUDAD INDUSTRIAL,MORELIA,58200,MICHOACAN,10NV160530009,02/Aug/2010,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES E INOCULANTES LIQUIDOS
105,COSMOCEL S.A.,VIA A MATAMOROS NO. 1501,FRACC. INDUSTRIAL NOGALAR,SAN NICOLAS DE LOS GARZA,66480,NUEVO LEON,94AR075E,01/May/1996,"FABRICACION Y COMPRAVENTA  DE PRODUCTOS  QUIMICOS , AGRICOLAS  E INDUSTRIALES",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
106,CSI DIVISION SERVICIOS S.A. DE C.V.,CALLE 33 NO. 569 NTE,SAN MARCOS,TORREON,27040,COAHUILA,06FP050350004,20/Mar/2006,FORMULACION DE PLAGUICIDAS,BIOCIDAS
107,CUPROSA S.A. DE C.V,CALLE 4 No. 2734,ZONA INDUSTRIAL,GUADALAJARA,44940,JALISCO,08PNV140390013,24/Mar/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FABRICACION DE FUNGICIDAS SOLIDOS, FERTILIZANTES LIQUIDOS FORMULACION DE FUNGICIDAS SOLIDOS Y LIQUIDOS, FERTILIZANTES SOLIDOS ENVASADO DE INSECTICIDAS-ACARICIDAS Y HERBICIDAS SOLIDOS Y LIQUIDOS"
108,CUPROSA S.A. DE C.V,CARRETERA A LA CAPILLA Km. 1.56,S/C,TLAJOMULCO DE ZUAIGA,45530,JALISCO,11PNV140970024,30/Jan/2012,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION Y/O ENVASADO DE FUNGICIDAS LIQUIDOS Y SOLIDOS, FORMULACION Y ENVASADO DE INSECTICIDAS LIQUIDOS Y SOLIDOS, FORMULACION Y/O ENVASADO DE INSECTICIDAS-ACARICIDAS LIQUIDOS, FORMULACION Y ENVASADO DE FERTILIZANTES LIQUIDOS Y SOLIDOS, FORMULACION Y/O ENVASADO DE HERBICIDAS LIQUIDOS Y SOLIDOS."
109,DANICOM S.A. DE C.V.,VIA MORELOS NO. 33,SAN PEDRO XALOSTOC,ECATEPEC DE MORELOS,55310,MAXICO,08P150330023,11/Nov/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS","FORMULACION DE INSECTICIDAS-ACARICIDAS LIQUIDOS, RODENTICIDAS SOLIDOS, HERBICIDAS LIQUIDOS Y ENVASADO DE FUNGICIDAS SOLIDOS"
110,DANIELA DE LA MORA VELAZCO,CARRETERA TECATE-ENSENADA 428 Km. 104,EL SAUZAL DE RODRIGUEZ,ENSENADA,22760,BAJA CALIFORNIA,16NV0200111,04/May/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN DE FERTILIZANTES INORGANICOS, ORGANICOS Y ORGANOMINERALES, MEJORADORES DE SUELO INORGANICOS Y ORGANICOS, REGULADORES DE CRECIMIENTO E INOCULANTES LAQUIDOS."
111,DE TODO PARA EL CONTROL DE PLAGAS URBANAS S.A. DE C.V.,NUEVA JERSEY NO 4311-3,FRACC  INDUSTRIAL LINCOLN,MONTERREY,64310,NUEVO LEON,94119,,FORMULACION Y ENVASADO DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
112,DEGESCH DE MEXICO S.A. DE C.V,AV. 2 NO. 10,PARQUE INDUSTRIAL CARTAGENA,TULTITLAN,54918,MAXICO,94147,08/Nov/2007,"FABRICA DE INSECTICIDAS, BASICAMENTE PRODUCTOS PARA FUMIGAR GRANO ALMACENADO, FORMULACION DE PLAGUICIDAS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
113,DIOSOLCHEMICAL S.A. DE C.V.,CARRETERA NAVOLATO,LA VUELTA DEL POBLADO LA LOMA,NAVOLATO,80370,SINALOA,09PNV250180018,15/Jun/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FABRICACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS Y FORMULACION DE FUNGICIDAS LIQUIDOS, INSECTICIDAS LIQUIDOS Y REGULADORES DE CRECIMIENTO SOLIDOS Y LIQUIDOS"
114,DISTRIBUCIONES AGRACOLAS SALAMEZ S. DE R.L. DE C.V.,AVENIDA DEL DREN No. 7506,CAMPO EL DIEZ,CULIACAN,80396,SINALOA,13PNV2500620,14/Aug/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACIAN DE FUNGICIDAS, BACTERICIDAS, INSECTICIDAS, ACARICIDAS Y
HERBICIDAS DE ORIGEN QUAMICO SALIDOS Y LAQUIDOS; FORMULACIAN DE FUNGICIDAS, INSECTICIDAS Y NEMATICIDAS BOTANICOS, MICROBIALES Y MISCELANEOS SALIDOS Y LAQUIDOS; FORMULACIAN DE FERTILIZANTES INORGANICOS SALIDOS Y LAQUIDOS; FORMULACIAN DE FERTILIZANTES,"
115,DISTRIBUIDORA RANCHO LOS MOLINOS S.A. DE C.V.,Km. 16.5 CARRETERA CUERNAVACA-TEPOZTLAN,LOS MOLINOS,TEPOZTLAN,62520,MORELOS,11NV170200010,02/Dec/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SALIDOS.
116,DOW AGROSCIENCES DE MEXICO S.A. DE C.V.,BLVD. EMILIO SANCHEZ PIEDRAS No. 302,INDUSTRIAL XICONTENCATL,TETLA DE SOLIDARIDAD,90431,TLAXCALA,05FP290310003,14/Jul/2005,FORMULACION DE PLAGUICIDAS,INSECTICIDAS Y HERBICIDAS LIQUIDOS
117,DU PONT  MEXICANA S. DE R.L. DE C.V.,KM 52 +500 CARRETERA MAXICO-TOLUCA,PARQUE INDUSTRIAL,LERMA,52000,MAXICO,96065,15/Sep/2014,"FABRICA Y/O  FORMULADORA DE PLAGUICIDAS, FABRICA DE FERTILIZANTES, MEJORADORES DE SUELO E INOCULANTES, APLAGUICIDAS, FABRICA Y/O FORMULADORA DE a|
FERTILIZANTES, MEJORADORES DE SUELO E INOCULANTES, FABRICA DE",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
118,DU PONT MEXICANA S. DE R.L. DE C.V.,KM. 45.5 CARRETERA MEXICO-TOLUCA,JUAREZ,OCOYOACAC,52743,ESTADO DE MEXICO,06P150620018,19/Nov/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",ENVASADO DE INSECTICIDAS Y FUNGICIDAS LIQUIDOS Y SOLIDOS
119,DUARTE MACDONALD ADALBERTO ENRIQUE,MANUEL ACUAA No. 310,SAN ISIDRO,CAMARGO,33760,CHIHUAHUA,05FNV080190003,10/Feb/2005,FORMULADORA DE NUTRIENTES VEGETALES,FORMULACION DE  FERTILIZANTES LIQUIDOS ORGANICOS E INORGANICOS
120,DUCORAGRO S.A. DE C.V.,CARR. A SAN ISIDRO MAZATEPEC KM. 5 NO. 5000,STA. CRUZ DE LAS FLORES,TLAJOMULCO DE ZUAIGA,45640,JALISCO,08NV140970011,16/Jan/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",MEZCLA DE FERTILIZANTES SOLIDOS
121,DUNE COMPANY MEXICALI S. DE R.L DE C.V,"CARRETERA A CD. VICTORIA, LOTE 40",FRACC. SUR OESTE,MEXICALI,21800,BAJA CALIFORNIA,16NV0200202,19/Feb/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES ORGANICOS LIQUIDOS
122,ECOPROTECTO S.A. DE C.V.,CALLE COYOACAN No. 104,MOCTEZUMA,TORREON,27030,COAHUILA,10P050350014,08/Jun/2010,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, FUNGICIDAS Y NEMATICIDAS LIQUIDOS"
123,EDGAR OLIVER BARRERA GONZALEZ,ALLENDE No: 286,CENTRO,QUERENDARO,58980,MICHOACAN,11PNV160720010,01/Aug/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS LIQUIDOS, INSECTICIDAS LIQUIDOS, FERTILIZANTES LIQUIDOS, MEJORADORES DE SUELO LIQUIDOS, REGULADORES DE CRECIMIENTO LIQUIDOS."
124,ELISEO GARCIA CARRILLO,AGRICULTORES MANZANA 4 LOTE 3 S/N,OBRERA BENITO JUAREZ,SAN JUAN BAUTISTA TUXTEPEC,68445,OAXACA,15NV2018412,15/Oct/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
125,EMPRESAS LONGORIA S. A. DE  C. V.,GUANACEVI NO. 460,PARQUE INDUSTRIAL LAGUNERO,GOMEZ PALACIO,35070,DURANGO,07P100070001,31/May/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE INSECTICIDAS-ACARICIDAS SOLIDOS Y LIQUIDOS Y HERBICIDAS LIQUIDOS
