i>>?NAomero,Rubro,Estado,Municipio,Nombre del Area,Plazo de CertificaciA3n,Fecha de Certificacion,Superficie Certificada,Etnia a la que Pertenece,Ecosistemas,Observaciones
110,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 115 Z-2 P2/2,10 aA+-os,3/27/2007,30.8,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
111,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 128 Z-2 P2/2,10 aA+-os,3/27/2007,2.84,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
112,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 110 Z-2 P2/2,10 aA+-os,3/27/2007,9.26,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
113,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 77 Z-2 P2/2,10 aA+-os,3/27/2007,13.56,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
114,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 75 Z-2 P2/2,10 aA+-os,3/27/2007,5.05,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
115,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 45 Z-2 P2/2,10 aA+-os,3/27/2007,12.99,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
116,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 93 Z-2 P2/2,10 aA+-os,3/27/2007,3.21,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
117,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 66 Z-2 P2/2,10 aA+-os,3/27/2007,29.4,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
118,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 102 Z-2 P2/2,10 aA+-os,3/27/2007,1.49,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
119,Personas FAsicas,Coahuila,Ocampo,Sierra San Vicente,50 aA+-os,3/30/2007,"14,932.18",N/A,"Matorral XerA3filo MicrA3filo, Matorral XerA3filo HalA3fito, Matorral XerA3filo GipsA3filo, Matorral XerA3filo RosetA3filo, Matorral XerA3filo Crasicaule, Pradera",
120,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 86 Z-2 P2/2,10 aA+-os,4/9/2007,3.31,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
121,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 98 Z-2 P2/2,10 aA+-os,4/9/2007,1.61,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
122,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 107 Z-2 P2/2,10 aA+-os,4/9/2007,3.21,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
123,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 99 Z-2 P2/2,10 aA+-os,4/12/2007,3.16,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
124,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 80 Z-2 P2/2,10 aA+-os,4/12/2007,1.93,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
125,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 90 Z-2 P2/2,10 aA+-os,4/12/2007,6.57,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
126,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 108 Z-2 P2/2,10 aA+-os,4/12/2007,5.58,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
127,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 62 Z-2 P2/2,10 aA+-os,4/12/2007,5,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
128,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 89 Z-2 P2/2,10 aA+-os,4/12/2007,4.46,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
129,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 88 Z-2 P2/2,10 aA+-os,4/12/2007,1.81,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
130,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 70 Z-2 P2/2,10 aA+-os,4/12/2007,6.4,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
131,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 51 Z-2 P2/2,10 aA+-os,4/12/2007,41.73,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
132,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 47 Z-2 P2/2,10 aA+-os,4/12/2007,11.96,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
133,Parcelas,Guerrero,Tecpan de Galeana,Area de ConservaciA3n EcolA3gica Comunitaria La Confianza 50 Z-2 P2/2,10 aA+-os,4/12/2007,2.66,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino Encino, Bosque de GalerAa, Bosque de Encino, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
134,Tierras de Uso ComAon,Oaxaca,Acatlan de Perez Figueroa,Area Comunitaria de ConservaciA3n Buenos Aires,99 aA+-os,4/12/2007,218,Mazatecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
135,Comunidades,Guerrero,Illiatenco Montes de Oca,Area de ConservaciA3n EcolA3gica de Iliatenco,10 aA+-os,8/16/2007,"6,537.62",Tlapanecas,"Bosque de Pino-Encino, Bosque MesA3filo, Selva Mediana Subcaducifolia",
136,Tierras de Uso ComAon,Guerrero,Alpoyeca,Area de ConservaciA3n de Ixcateopan,10 aA+-os,8/20/2007,"1,001",(Tlapaneco) Nahuatl,"Selva Baja Caducifolia, Sabana de Encino, Bosque en galerAa",
137,Personas FAsicas,Oaxaca,San Juan Guichicovi,El Guarumbo,10 aA+-os,8/20/2007,48.87,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
138,Comunidades,Guerrero,Alpoyeca,Area de ConservaciA3n EcolA3gica de Alpoyeca,10 aA+-os,8/20/2007,279.5,Nahuatl,"Selva Baja Caducifolia, Sabana de Encino",
139,Tierras de Uso ComAon,Oaxaca,Barrio de La Soledad,El Bosque de Encinojucal y la Chichihua,10 aA+-os,8/20/2007,"2,007.79",N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Sabana, Selva Baja Caducifolia",
140,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 30 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,6.81,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
141,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 12 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,26.35,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
142,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 51 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,15.98,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
143,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 5 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,30.1,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
144,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 21 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,58.97,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
145,Parcelas,Oaxaca,San Juan MazatlA!n,Parcela 46 Z-1 P1/1 (Estos son de Nuevo Praderaogreso),10 aA+-os,8/20/2007,19.33,N/A,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
146,Tierras de Uso ComAon,Guerrero,Illiatenco Montes de Oca,Area de ConservaciA3n EcolA3gica de Iliatenco de Montes de Oca,10 aA+-os,8/20/2007,"3,250.18",N/A,"Bosque de Pino-Encino, Bosque MesA3filo, Selva Mediana Subcaducifolia, Selva Baja Caducifolia",
147,Personas FAsicas,Quintana Roo,Lazaro Cardenas,Reserva EcolA3gica El EdA(c)n,25 aA+-os,8/20/2007,"1,540.95",N/A,"Selva Mediana, Selva Baja Inundable, Palmares tintales, Humedales con Sabana, VegetaciA3n secundaria",
148,Tierras de Uso ComAon,Oaxaca,San Miguel Soyaltepec,Paraje El Frijolillo,25 aA+-os,10/15/2007,700,Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Pantano, VegetaciA3n acuA!tica",
149,Personas FAsicas,Chiapas,Tuxtla Gutierrez,Reserva Montecielo,10 aA+-os,10/17/2007,203.97,N/A,"Selva Mediana Subperennifolia, Bosque de Encino",
150,Tierras de Uso ComAon,Oaxaca,Ayoncintepec,Area de ConservaciA3n de la RiBosque de Encinora del Cajonos del Ejido Plan Juan MartAnez,99 aA+-os,12/11/2007,259.5,Chinanteca,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
151,Tierras de Uso ComAon,Nuevo LeA3n,Galeana,Zona de RestauraciA3n EcolA3gica del Lobo Mexicano la Praderaovidencia,99 aA+-os,1/30/2008,"1,399",,"Bosque de Pino-Encino, Matorral XerA3filo",
152,Comunidades,Oaxaca,San Juan Lajarcia,El Convento-CerroVerde-Las Minas,10 aA+-os,3/13/2008,"3,080",Zapotecas,"Selva Baja Caducifolia, Selva Mediana Caducifolia, Selva Baja Espinosa",
153,Comunidades,Oaxaca,San Juan Cotzocon,Chocatz,10 aA+-os,5/8/2008,"2,577.62",Mixes,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
154,Personas FAsicas,Nayarit,Santiago Izcuintla,La Papalota 1,99 aA+-os,6/5/2008,175.22,N/A,"Matorral Espinoso, Manglar, VegetaciA3n Costera HalA3fita, VegetaciA3n AcuA!tica",
155,Personas FAsicas,Nayarit,Santiago Izcuintla,La Papalota 2,99 aA+-os,6/5/2008,193.61,N/A,"Matorral Espinoso, Manglar, VegetaciA3n Costera HalA3fita, VegetaciA3n AcuA!tica",
156,Sociedades,Quintana Roo,Bosque de Encinonito Juarez,Zona de ConservaciA3n de Puerta del Mar,15 aA+-os,8/11/2008,2.3,N/A,"Manglar, VegetaciA3n AcuA!tica",
157,Comunidades,Guerrero,Malinaltepec,Area de ConservaciA3n EcolA3gica Paraje Montero,30 aA+-os,11/20/2008,667.85,Me'Phaa,"Bosque de Pino-Encino, Bosque MesA3filo en caA+-adas, Selva Mediana Subcaducifolia",
158,Comunidades,Guerrero,Malinaltepec,Area de ConservaciA3n EcolA3gica Malinaltepec,15 aA+-os,11/20/2008,253.17,Me'Phaa (Mixteco),"Bosque de Pino-Encino, Bosque MesA3filo en caA+-adas, Selva Mediana Subcaducifolia",
159,Comunidades,Guerrero,San Luis AcatlA!n,Area de ConservaciA3n EcolA3gica San JosA(c) Vista Hermosa,30 aA+-os,11/20/2008,459.51,Me'Phaa,"Bosque de Pino-Encino, Bosque MesA3filo, Bosque de GalerAa, Selva Mediana Subcaducifolia",
160,Personas FAsicas,Chiapas,Ciudad Hidalgo,El Silencio,15 aA+-os,11/26/2008,140,N/A,"Selva Baja Caducifolia, Manglar de agua dulce, Palmar, Tular, VegetaciA3n AcuA!tica",
161,Comunidades,Guerrero,Taxco de AlarcA3n,Cerro De Los Manantiales,15 aA+-os,12/4/2008,"3,903.43",Nahuatl,"Bosque de Pino-Encino, Bosque de Encino, Bosque de TA!scate, Bosque MesA3filo, Selva Baja Caducifolia",
162,Sociedades,Coahuila,AcuA+-a,Tierra Silvestre CaA+-A3n del Diablo,15 aA+-os,2/3/2009,"22,400",N/A,"Matorral DesA(c)rtico RosetA3filo, Bosque de Pino, Bosque de Pino Encino, Chaparral, Matorral DesA(c)rtico MicrA3filo, Pastizal Inducido",
163,Tierras de Uso ComAon,Oaxaca,Santa MarAa Jacatepec,Area de ConservaciA3n del FaisA!n Real del Ejido Rancho FaisA!n,15 aA+-os,4/2/2009,"4,208.69",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola, Ecosistema AcuA!tico",
164,Tierras de Uso ComAon,Oaxaca,San JosA(c) Chiltepec,Area de ConservaciA3n de la Cicada y la Pata de Elefante del Ejido Leyes de Reforma,15 aA+-os,4/2/2009,"2,992.11",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola, Ecosistema AcuA!tico",
165,Tierras de Uso ComAon,Oaxaca,Santa MarAa Jacatepec,Area de ConservaciA3n del Mazate del Ejido Cerro Concha,15 aA+-os,4/2/2009,"1,790.54",Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola, Ecosistema AcuA!tico",
166,Tierras de Uso ComAon,Oaxaca,Santa MarAa Jacatepec,Area de ConservaciA3n de la Cycada del Ejido Emiliano Zapata,15 aA+-os,4/2/2009,713.71,Chinantecas,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema cavernAcola, Ecosistema acuA!tico",
167,Tierras de Uso ComAon,Oaxaca,Santa MarAa Chimalapas,Zona de Uso ComAon I y Zona VIII,30 aA+-os,4/2/2009,"1,264.87",Zoques,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
168,Comunidades,Guerrero,Malinaltepec,Area de ConservaciA3n EcolA3gica de San Miguel del Praderaogreso,30 aA+-os,4/14/2009,277,Me'phaa,"Bosque de Pino-Encino, Bosque MesA3filo de MontaA+-a",
169,Comunidades,Guerrero,Malinaltepec,Area de ConservaciA3n EcolA3gica de Colombia de Guadalupe,30 aA+-os,4/14/2009,631.19,Me'phaa,"Bosque de Pino-Encino, Bosque MesA3filo en caA+-adas, Selva Mediana Subcaducifolia",
170,Comunidades,Guerrero,Atlixtac,Area de ConservaciA3n EcolA3gica de San Lucas Teocuitlapa,30 aA+-os,4/14/2009,"1,024",Me'phaa,"Bosque de Encino, Bosque de Pino-Encino, Bosque Alpino",
171,Comunidades,Guerrero,Alpoyeca,Area de ConservaciA3n EcolA3gica de Tecoyo,30 aA+-os,4/14/2009,"1,025.71",Me'Phaa (Nahuatl),"Selva Baja Caducifolia, Bosque de Encino, Bosque de GalerAa",
172,Comunidades,Guerrero,Atlamajalcingo del Monte,Area de ConservaciA3n EcolA3gica de Huehuetepec,30 aA+-os,4/30/2009,978.55,Me'Phaa (Mixtecos),"Bosque de Encino, Bosque de Pino-Encino",
173,Tierras de Uso ComAon,Chiapas,Maravilla Tenejapa,Area de ConservaciA3n La Caverna,15 aA+-os,7/21/2009,"1,414.86",Tzotzil,Selva Alta Perennifolia,
174,Tierras de Uso ComAon,Chiapas,Las Margaritas,La SerranAa,15 aA+-os,9/7/2009,439.31,Tzotzil,Selva Alta Perennifolia,
175,Municipal,Puebla,Hueyapan,Ozuma y Cuahuloma,15 aA+-os,10/2/2009,804.17,N/A,"Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
176,Tierras de Uso ComAon,Oaxaca,San Juan Bautista Valle Nacional,Area de ConservaciA3n Cerro Mirador,20 aA+-os,1/21/2010,"2,500",Chinanteco,"Bosque MesA3filo, Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Ecosistema CavernAcola, Ecosistema AcuA!tico",
177,Asociaciones,Guerrero,Iguala de la Independencia,Parque EcolA3gico de Iguala,99 aA+-os,1/21/2010,51.36,N/A,Selva Baja Caducifolia,
178,Tierras de Uso ComAon,Oaxaca,San Juan Bautista Valle Nacional,Area de ConservaciA3n Montenegro,15 aA+-os,2/10/2010,800,Chinanteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia y Bosque MesA3filo de MontaA+-a",
179,Tierras de Uso ComAon,Oaxaca,San Juan Bautista Valle Nacional,Area de ConservaciA3n Paso Nuevo La Hamaca,20 aA+-os,2/16/2010,600,Chinanteco,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, Ecosistema CavernAcola",
180,Parcelas,Oaxaca,San Juan Guichicovi,32 Z-1 P 1/1,15 aA+-os,3/23/2010,7.63,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
181,Parcelas,Oaxaca,San Juan Guichicovi,79 Z-1 P 1/1,15 aA+-os,3/23/2010,6,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
182,Parcelas,Oaxaca,San Juan Guichicovi,45 Z-1 P 1/1,15 aA+-os,3/23/2010,11,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
183,Parcelas,Oaxaca,San Juan Guichicovi,53 Z-1 P 1/1,15 aA+-os,3/23/2010,5.38,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
184,Parcelas,Oaxaca,San Juan Guichicovi,49 Z-1 P 1/1,15 aA+-os,3/23/2010,4.98,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
185,Parcelas,Oaxaca,San Juan Guichicovi,68 Z-1 P 1/1,15 aA+-os,3/23/2010,4.54,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
186,Parcelas,Oaxaca,San Juan Guichicovi,10 Z-1 P 1/1,15 aA+-os,3/23/2010,13.57,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
187,Parcelas,Oaxaca,San Juan Guichicovi,13 Z-1 P 1/1,15 aA+-os,3/23/2010,8.66,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
188,Parcelas,Oaxaca,San Juan Guichicovi,28 Z-1 P 1/1,15 aA+-os,3/23/2010,4.51,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
189,Parcelas,Oaxaca,San Juan Guichicovi,73 Z-1 P 1/1,15 aA+-os,3/23/2010,3,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
190,Parcelas,Oaxaca,San Juan Guichicovi,62 Z-1 P 1/1,15 aA+-os,3/23/2010,8.2,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
191,Parcelas,Oaxaca,San Juan Guichicovi,55 Z-1 P 1/1,15 aA+-os,3/23/2010,7.39,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
192,Parcelas,Oaxaca,San Juan Guichicovi,23 Z-1 P 1/1,15 aA+-os,3/23/2010,10.61,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
193,Parcelas,Oaxaca,San Juan Guichicovi,24 Z-1 P 1/1,15 aA+-os,3/23/2010,4.06,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
194,Parcelas,Oaxaca,San Juan Guichicovi,64 Z-1 P 1/1,15 aA+-os,3/23/2010,7.72,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
195,Parcelas,Oaxaca,San Juan Guichicovi,58 Z-1 P 1/1,15 aA+-os,3/23/2010,6.06,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
196,Parcelas,Oaxaca,San Juan Guichicovi,61 Z-1 P 1/1,15 aA+-os,3/23/2010,11.21,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
197,Parcelas,Oaxaca,San Juan Guichicovi,1 Z-1 P 1/1,15 aA+-os,3/23/2010,6.86,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
198,Parcelas,Oaxaca,San Juan Guichicovi,7 Z-1 P 1/1,15 aA+-os,3/23/2010,9.53,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
199,Comunidades,Oaxaca,San Juan Bautista Valle Nacional,Area de ConservaciA3n Nopalera del Rosario,25 aA+-os,3/18/2010,"4,200",Chinantecos,"GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino, Bosque Alpino",
200,Personas FAsicas,Oaxaca,San Juan MazatlA!n,Rancho Emanuel,99 aA+-os,3/30/2010,12.12,Mixe,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
201,Tierras de Uso ComAon,Chiapas,Maravilla Tenejapa,Cerro El Mirador,15 aA+-os,5/10/2010,237,"Tojolabal, Tzotzil y Tzeltal",Selva Alta Perennifolia,
202,Tierras de Uso ComAon,Chiapas,MarquA(c)s de Comillas,Reserva Las Guacamayas,99 aA+-os,5/12/2010,"1,454.13",Chinanteca,Selva Alta Perennifolia,
203,Comunidades,Oaxaca,San Miguel Chimalapa,El CordA3n del RetA(c)n,30 aA+-os,5/13/2010,"15,328.54",Zoques,"Selva Baja Caducifolia, Selva Mediana Subcaducifolia, Selva Mediana Subperennifolia, Sabana de Pino-Encino, Bosque de Pino-Encino, Bosque MesA3filo, Bosque de Pino",
204,Parcelas,Oaxaca,San Juan Guichicovi,424 Z-4 P 1/1,15 aA+-os,7/2/2010,16,Mixteco,Selva Alta Perennifolia,
205,Tierras de Uso ComAon,Oaxaca,San AndrA(c)s Ixtlahuaca,La Capitana,25 aA+-os,8/20/2010,958.44,Mixteco,"Bosque de Pino-Encino, Bosque de Pino, Selva Baja Caducifolia",
206,Tierras de Uso ComAon,Oaxaca,San Juan Bautista Valle Nacional,Area de ConservaciA3n San Felipe de LeA3n,15 aA+-os,9/28/2010,"3,500",Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
207,Parcelas,Oaxaca,AsunciA3n Ixtaltepec,70 Z-1 P 1/1,15 aA+-os,10/4/2010,36.07,Pendiente,Selva Mediana Subcaducifolia,
208,Tierras de Uso ComAon,Oaxaca,San Juan Guichicovi,"Zonas de Uso ComAon I,II,III y IV",30 aA+-os,10/4/2010,"1,402.16",Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia, GalerAa Riparia",
209,Parcelas,Oaxaca,Santa MarAa Chimalapas,Parcela 128 Z-1 P 1/2,15 aA+-os,10/5/2010,17.12,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
210,Parcelas,Oaxaca,Santa MarAa Chimalapas,Parcela 129 Z-1 P 1/2,15 aA+-os,10/5/2010,62.09,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
211,Parcelas,Oaxaca,San Juan Guichicovi,38 Z-1 P 1/1,15 aA+-os,10/5/2010,15.63,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
212,Parcelas,Oaxaca,San Juan Guichicovi,30 Z-1 P 1/1,15 aA+-os,10/5/2010,5.9,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
213,Parcelas,Oaxaca,San Juan Guichicovi,5 Z-1 P 1/1,15 aA+-os,10/5/2010,17.85,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
214,Parcelas,Oaxaca,San Juan Guichicovi,37 Z-1 P 1/1,15 aA+-os,10/5/2010,6.83,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
215,Parcelas,Oaxaca,San Juan Guichicovi,26 Z-1 P 1/1,15 aA+-os,10/5/2010,9.37,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
216,Parcelas,Oaxaca,San Juan Guichicovi,22 Z-1 P 1/1,15 aA+-os,10/5/2010,7.52,Pendiente,"Selva Alta Perennifolia, Selva Mediana Subperennifolia",
217,Personas FAsicas,Oaxaca,San Miguel del Puerto,Finca Monte Carlo,50 aA+-os,10/12/2010,161.28,N/A,"Selva Alta Perennifolia, Bosque MesA3filo de MontaA+-a, Bosque de Pino-Encino",
218,Tierras de Uso ComAon,Quintana Roo,Felipe Carrillo Puerto,Much Kanan K'aax,25 aA+-os,11/15/2010,"1,230",Maya-Yucateco,"Selva Mediana Subcaduciifolia y subperennifolia, Selva Alta Perennifolia, Cuerpos lagunares y aguadas",
219,Personas FAsicas,Veracruz,Coatepec,Selva Nueva y El Jaguar,20 aA+-os,11/5/2010,5.88,N/A,Bosque MesA3filo de MontaA+-a,
220,Personas FAsicas,Quintana Roo,OthA3n P. Blanco,Huub'Sak,99 aA+-os,11/18/2010,50,N/A,"Selva Mediana/Alta Subperennifolia, Manglar",
221,Personas FAsicas,Tlaxcala,Tlaxco,Area Natural Praderaotegida del Bicentenario El PilA3n,15 aA+-os,11/22/2010,237.6,N/A,"Bosque Alpino de Abies, Bosque de Pino Encino.",
